ARRIVAL DATE,IMPORTER NAME,IMPORTER COUNTRY,EXPORTER NAME,COUNTRY OF ORIGIN,IMPORT VALUE FOB,IMPORT VALUE CIF,CURRENCY,QUANTITY,QUANTITY UNIT,PRODUCT DETAILS
10-01-2024,BORR DRILLING CONTRACTING S. DE R.L. DE C.V.,Mexico,JVS INDUSTRIES PVT. LTD,India,0,63.98,USD,32,Piece,TUERCA
10-01-2024,BORR DRILLING CONTRACTING S. DE R.L. DE C.V.,Mexico,JVS INDUSTRIES PVT. LTD,India,0,26726.38,USD,2,Piece,PARTES PARA VALVULA
10-01-2024,BORR DRILLING CONTRACTING S. DE R.L. DE C.V.,Mexico,JVS INDUSTRIES PVT. LTD,India,0,91.21,USD,16,Piece,PERNO
10-01-2024,BORR DRILLING CONTRACTING S. DE R.L. DE C.V.,Mexico,JVS INDUSTRIES PVT. LTD,India,0,103.66,USD,16,Piece,PERNO
10-01-2024,BORR DRILLING CONTRACTING S. DE R.L. DE C.V.,Mexico,JVS INDUSTRIES PVT. LTD,India,0,79.98,USD,32,Piece,TUERCA
10-01-2024,BORR DRILLING CONTRACTING S. DE R.L. DE C.V.,Mexico,JVS INDUSTRIES PVT. LTD,India,0,97.61,USD,16,Piece,PERNO
10-01-2024,BORR DRILLING CONTRACTING S. DE R.L. DE C.V.,Mexico,JVS INDUSTRIES PVT. LTD,India,0,47.99,USD,32,Piece,TUERCA
10-01-2024,BORR DRILLING CONTRACTING S. DE R.L. DE C.V.,Mexico,JVS INDUSTRIES PVT. LTD,India,0,16294.47,USD,3,Piece,VALVULA
10-01-2024,BORR DRILLING CONTRACTING S. DE R.L. DE C.V.,Mexico,JVS INDUSTRIES PVT. LTD,India,0,3995.97,USD,2,Piece,VALVULA
10-01-2024,BORR DRILLING CONTRACTING S. DE R.L. DE C.V.,Mexico,JVS INDUSTRIES PVT. LTD,India,0,12149.98,USD,2,Piece,VALVULA
10-01-2024,BORR DRILLING CONTRACTING S. DE R.L. DE C.V.,Mexico,JVS INDUSTRIES PVT. LTD,India,0,3077.98,USD,2,Piece,VALVULA
10-01-2024,BORR DRILLING CONTRACTING S. DE R.L. DE C.V.,Mexico,JVS INDUSTRIES PVT. LTD,India,0,18413.97,USD,2,Piece,VALVULA
10-01-2024,BORR DRILLING CONTRACTING S. DE R.L. DE C.V.,Mexico,JVS INDUSTRIES PVT. LTD,India,0,129789.01,USD,19,Piece,VALVULA
10-01-2024,BORR DRILLING CONTRACTING S. DE R.L. DE C.V.,Mexico,JVS INDUSTRIES PVT. LTD,India,0,13725.01,USD,2,Piece,PARTES PARA VALVULA
16-02-2023,"SEADRILL AMERICAS, INC.",United States,JVS INDUSTRIES PVT LTD,India,0,0,,4,PKG,"VALVE GATE MANUAL , 01 TO 04"
18-05-2021,SEADRILL OBERON DE MEXICO S. DE R.L. DE C.V.,Mexico,JVS INDUSTRIES PVT. LTD,United States,660,8508,USD,4,Pieces,EMPAQUES
18-05-2021,SEADRILL OBERON DE MEXICO S. DE R.L. DE C.V.,Mexico,JVS INDUSTRIES PVT. LTD,India,290.72,6713.72,USD,1,Pieces,PARTES PARA VALVULAS (ASIENTO)
18-05-2021,SEADRILL OBERON DE MEXICO S. DE R.L. DE C.V.,Mexico,JVS INDUSTRIES PVT. LTD,India,290.72,6713.72,USD,1,Pieces,PARTES PARA VALVULAS (EJE)
18-05-2021,SEADRILL OBERON DE MEXICO S. DE R.L. DE C.V.,Mexico,JVS INDUSTRIES PVT. LTD,United States,720,8568,USD,4,Pieces,EMPAQUES
18-05-2021,SEADRILL OBERON DE MEXICO S. DE R.L. DE C.V.,Mexico,JVS INDUSTRIES PVT. LTD,India,2616.48,9039.48,USD,9,Pieces,EMPAQUES DE CAUCHO
18-05-2021,SEADRILL OBERON DE MEXICO S. DE R.L. DE C.V.,Mexico,JVS INDUSTRIES PVT. LTD,India,290.72,6713.72,USD,1,Pieces,RETEN (EMPAQUE)
18-05-2021,SEADRILL OBERON DE MEXICO S. DE R.L. DE C.V.,Mexico,JVS INDUSTRIES PVT. LTD,India,1440,7657,USD,4,Pieces,EMPAQUE DE PLASTICO
18-05-2021,SEADRILL OBERON DE MEXICO S. DE R.L. DE C.V.,Mexico,JVS INDUSTRIES PVT. LTD,India,100,6317,USD,1,Pieces,EMPAQUE METALICO
18-05-2021,SEADRILL OBERON DE MEXICO S. DE R.L. DE C.V.,Mexico,JVS INDUSTRIES PVT. LTD,India,400,6617,USD,2,Pieces,EMPAQUE DE PLASTICO
