ARRIVAL DATE,IMPORTER NAME,IMPORTER COUNTRY,EXPORTER NAME,COUNTRY OF ORIGIN,IMPORT VALUE FOB,IMPORT VALUE CIF,CURRENCY,QUANTITY,QUANTITY UNIT,PRODUCT DETAILS
28-04-2024,"FORUM US, INC.",United States,PARVEEN INDUSTRIES PVT. LTD,India,0,0,,4,PKG,"TUBE OR PIPE FITTINGS , BOX NO, 01 OF O3, 04 TO 04"
19-04-2024,AMERICAN COMPLETION TOOLS INC.,United States,PARVEEN INDUSTRIES PVT. LTD,India,0,0,,13,PKG,PARTS OF LUBRICATOR ASSEMBLY
17-04-2024,"FORUM US, INC.",United States,PARVEEN INDUSTRIES PVT. LTD,India,0,0,,14,BOX,"OTHER ARTICLES OF IRON AND STEEL, CHECK VALVE, INDUSTRIAL VALVES(OTHERS) , BOX NO, 01 OF O1, 01 TO 10, 11 & 12, 13 OF 13"
17-04-2024,AMERICAN COMPLETION TOOLS INC.,United States,PARVEEN INDUSTRIES PVT LTD (100% EO,India,0,0,,37,PKG,"OILFIELD EQUIPMENT & MACHINERY PARTS (UNION, FLANGE, VALVES, SEGMENT, SWIVEL JOINT) HS CO, DE: 84819090, 84314390, 84589100 , 37 PKGS"
08-04-2024,"FORUM US, INC.",United States,PARVEEN INDUSTRIES PVT. LTD,Spain,0,0,,20,BOX,"INDUSTRIAL VALVE OTHERS , 10 BOXES, BOX NO, 01 TO 02, 03 OF 10, 4 TO 10, 10 BOXES, 01 T0 02, 04 TO 10"
08-04-2024,"FORUM US, INC.",United States,PARVEEN INDUSTRIES PVT. LTD,Spain,0,0,,15,BOX,"INDUSTRIAL VALVE OTHERS, TUBE OR PIPE FITTINGS FOR EXAMPLE, CUOUPLING ELBOWS OF OTHRS, OR IRON OR STEEL MACHINED PARTS, COMPONENTS MADE OF STEEL STAINLESS STEEL, MANUFACTURED THROUGH FORGING PROCESS , 07 OF 07, 7 BOXES, BOX NO, 01&02, 03 OF 03, 04 TO 06, 06 BOXES, 01& 02, 02 BOXES, 01 TO 06"
02-04-2024,"FORUM US, INC.",United States,PARVEEN INDUSTRIES PVT. LTD,India,0,0,,10,BOX,"INDJUSTRIAL VALVES OTHERS , BOX NO, 01 OF 10, 10 OF 10"
30-03-2024,SHELF DRILLING AS KFT.,Italy,PARVEEN INDUSTRIES PVT LTD,India,650,0,USD,1,NOS,"VALVE,PLUGLO-TORQ2IN10K,1502UNIONMALEXFEMALEENDS FOR H2S SERVICE BOTTOM ENTRY"
29-03-2024,FORUM USA INC.,United States,PARVEEN INDUSTRIES PVT LTD,India,32000,0,USD,25,NOS,"INDUSTRIAL VALVES VALVE, CHECK, SWING, 3"", 3"" DURALOCK,3"" DURALOCK, 15K, STD Line item 40000, P/N :"
29-03-2024,FORUM USA INC.,United States,PARVEEN INDUSTRIES PVT LTD,India,160000,0,USD,125,NOS,"INDUSTRIAL VALVES VALVE, CHECK, SWING, 3"", 3"" DURALOCK,3"" DURALOCK, 15K, STD Line item 40000, P/N :"
