ARRIVAL DATE,IMPORTER NAME,IMPORTER COUNTRY,EXPORTER NAME,COUNTRY OF ORIGIN,IMPORT VALUE FOB,IMPORT VALUE CIF,CURRENCY,QUANTITY,QUANTITY UNIT,PRODUCT DETAILS
25-04-2024,SAYATVA INDUSTRIAL PRIVATE LTD.,India,SAYATVA LLC,United States,0,3954,USD,86,PCS,INDUSTRIAL VALVE PARTS-SPACER 62 1.12.40 CARB ITEM NO: 320430095
22-04-2024,PETRODYNAMIX LLC.,United States,SAYATVA INDUSTRIAL PVT LTD,Sri Lanka,0,0,,10,PKG,INDUSTRIAL VALVE
22-04-2024,SAYATVA LLC,United States,SAYATVA INDUSTRIAL PVT LTD,Sri Lanka,0,0,,2,PKG,INDUSTRIAL VALVE
17-04-2024,SAYATVA INDUSTRIAL PRIVATE LTD.,India,SAYATVA LLC,United States,0,660,USD,80,PCS,INDUSTRIAL VALVE PARTS-WIPER RING 625 ID VIRG PTFE GRADE-VIRGIN PTFE ITEM NO: 24209003
09-04-2024,SAYATVA INDUSTRIAL PRIVATE LTD.,India,SAYATVA LLC,United States,0,1781,USD,10,PCS,"INDUSTRIAL VALVE PARTS- SEAT SPRING GATE VALVE MODEL VARAM7-1/16"" 2K 3K 5K ITEM NO: BS10445F3"
06-04-2024,PETRODYNAMIX LLC.,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,Oman,0,0,,20,PKG,INDUSTRIAL VALVE
26-03-2024,PETRODYNAMIX LLC.,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,720,0,USD,10,NOS,INDUSTRIAL VALVE COMPONENTS - SEAT MANUAL GATE VALVE
21-03-2024,PETRASCO,United Arab Emirates,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,100374,0,USD,1,SET,INDUSTRIAL VALVE MPD MANIFOLD 4-1/16 5KMATERIAL CLASS EE NL TEMP CLASS P U SERVICE H2S SERVICE PSL P
21-03-2024,SAYATVA INDUSTRIAL PRIVATE LTD.,India,SAYATVA LLC,United States,0,11956,USD,150,PCS,INDUSTRIAL VALVE PARTS -BALANCE SEAL ASSY 1.25 X 1.625 S20844 ITEM CODE: 255591844
21-03-2024,PETRASCO,United Arab Emirates,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,100374,0,USD,1,SET,INDUSTRIAL VALVE MPD MANIFOLD 4-1/16 5KMATERIAL CLASS EE NL TEMP CLASS P U SERVICE H28 SERVICE PSL P
21-03-2024,SAYATVA INDUSTRIAL PRIVATE LTD.,India,SAYATVA LLC,United States,0,7536,USD,150,PCS,INDUSTRIAL VALVE PARTS- OPTISEAL ASSY 2.625 X 3.000 S21036 ITEM CODE:255591845
21-03-2024,SAYATVA INDUSTRIAL PRIVATE LTD.,India,SAYATVA LLC,United States,0,528,USD,2,NOS,"ROUND BAR 1.25"" OD 718 API 6ACRA NACE MR0175 DIA 31.75MM X LENGTH 420MM IMPACT-50 DEG ITEM NO:1.250D"
21-03-2024,SAYATVA INDUSTRIAL PRIVATE LTD.,India,SAYATVA LLC,United States,0,627,USD,1,NOS,"2""DIA X 16.00"" LONG (0.250"" -0"") MATERIAL 718 NACE API CA CRA NICKEL ALLOY ITEM NO:2OD718API16.0 0L"
21-03-2024,PETRASCO,United Arab Emirates,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,11610,0,USD,3,PCS,INDUSTRIAL VALVE GATE VALVES MANUAL 4-1/16 5K TECHNICAL SPECIFICATION FOR MANUALGATE VALVE MATERIAL
21-03-2024,SAYATVA INDUSTRIAL PRIVATE LTD.,India,SAYATVA LLC,United States,0,21594,USD,150,PCS,INDUSTRIAL VALVE PARTS- STEM PACKING SET745/703/B711/716 0.620 ID X 1.125 OD X 1.070/1.032 SH S8532
21-03-2024,SAYATVA INDUSTRIAL PRIVATE LTD.,India,SAYATVA LLC,United States,0,600,USD,1,NOS,"2"" DIA X 15.85"" LONG (0.250"" -0"") MATERIAL 718 NACE API CA CRA NICKEL ALLOY ITEM NO: 2OD718API15.8 5"
20-03-2024,ADES SAUDI LTD,Saudi Arabia,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,13050,0,USD,1,SET,"INDUSTRIAL VALVE-(AS PER INVOICE)GATE VALVE,HYDRAULIC 7-1/16""-2K(S200),1. MATERIAL CLASS: DD-1.52 .T"
18-03-2024,SAYATVA INDUSTRIAL PRIVATE LTD.,India,SAYATVA LLC,United States,0,1290,USD,10,PCS,"INDUSTRIAL VALVE PARTS-SEAT SEAL 3-1/16"" 15K GATE VALVE ASSEMBLY -MODEL SPV-3015, OHI ITEM NO: BS101"
18-03-2024,SAYATVA INDUSTRIAL PRIVATE LTD.,India,SAYATVA LLC,United States,0,1390,USD,10,PCS,"INDUSTRIAL VALVE PARTS-SEAT SPRING CHECK VALVE MS TYPE 3-1/16"" 15K ITEM NO: BS1021F3"
18-03-2024,SAYATVA INDUSTRIAL PRIVATE LTD.,India,SAYATVA LLC,United States,0,1100,USD,10,PCS,"INDUSTRIAL VALVE PARTS- POPPET SPRING CHECK VALVE 3-1/16"" 10K/15K 4-1/16"" 10K ITEM NO:BS1022F3"
15-03-2024,Torishima Service Solutions,United Arab Emirates,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,729.6,0,USD,64,NOS,"SALE OF FASTENERS-ANT 1/8-8UN-7-20E1-XY1424 Nuts,1/8-8UN,ASTM A194 7,20E1,Xylan1424 Coated-Part No-G"
15-03-2024,Torishima Service Solutions,United Arab Emirates,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,1143.04,0,USD,64,NOS,"SALE OF FASTENERS-AST-TE-1-1/8-8UN-L7-20E1-XY1424-5.75 Studs,Tap End,1-1/8-8UN,ASTM A320 L7,20E1,Xyl"
15-03-2024,Torishima Service Solutions,United Arab Emirates,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,367.84,0,USD,16,NOS,"SALE OF FASTENERS-AST-TE-1-3/8UN-L7-20E1-XY1424-6.5 Studs,Tap End,1-3/8UN,ASTM A320 L7,20E1,Xylan 14"
15-03-2024,Torishima Service Solutions,United Arab Emirates,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,288.8,0,USD,16,NOS,"SALE OF FASTENERS-ANT3/4-10UNC-7-20E1-XY1424 Nuts,3/4-10UNC,ASTM A194 7,20E1,Xylan 1424 Coated-Part"
15-03-2024,Torishima Service Solutions,United Arab Emirates,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,551.76,0,USD,24,NOS,"SALE OF FASTENERS-AST-TE-1-3/8-8UN-L7-20E1-XY1424-6.5 Studs,Tap End,1-3/8-8UN,ASTM A320 L7,20E1,Xyla"
15-03-2024,Torishima Service Solutions,United Arab Emirates,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,53.2,0,USD,8,NOS,"SALE OF FASTENERS-ANT3/4-10UNC-7-20E1-XY1424 Nuts,3/4-10UNC,ASTM A194 7,20E1,Xylan 1424 Coated-Part"
15-03-2024,Torishima Service Solutions,United Arab Emirates,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,67.68,0,USD,8,NOS,"SALE OF FASTENERS-AST-TE-3/4-10UNC-L7-20E1-XY1424-3.875 Studs,Tap End,3/4-10UNC,ASTM A320 L7,20E1,Xy"
15-03-2024,Torishima Service Solutions,United Arab Emirates,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,433.2,0,USD,24,NOS,"SALE OF FASTENERS-ANT-1-3/8-8UN-7-20E1-XY1424 Nuts,1-3/8-8UN,ASTM A194 7,20E1,Xylan 1424 Coated-Part"
15-03-2024,Torishima Service Solutions,United Arab Emirates,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,729.6,0,USD,64,NOS,"SALE OF FASTENERS-ANT-1-3/8 8UN-7-20E1-XY1424 Nuts,1-3/8 8UN,ASTM A194 7,20E1,Xylan 1424 Coated-Part"
15-03-2024,Torishima Service Solutions,United Arab Emirates,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,53.2,0,USD,8,NOS,"SALE OF FASTENERS-ANT 3/4-10UNC-7-20E1-XY1424 Nuts,3/4-10UNC,ASTM A194 7,20E1,Xylan 1424 Coated-Part"
12-03-2024,SAYATVA LLC,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,9000,0,USD,10,NOS,"INDUSTRIAL VALVE - ASSEMBLY CHECK VALVE2-1/16 10K (S500)EE 1.5, PU PSL - 3 PR-1H2S SERVICE NO INLAY"
12-03-2024,PETRODYNAMIX LLC.,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,57695.6,0,USD,40,NOS,"INDUSTRIAL VALVE - ASSEMBLY MANUAL GATEVALVE 2 9/16-10K PU EE NL BODY/BNT 4130-NQT 75K UT/MPI:PSL3,P"
08-03-2024,ADES SAUDI LTD,Saudi Arabia,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,3228,0,USD,2,NOS,"INDUSTRIAL VALVE COMPONENTS-MUD GATE VALVE,2 1/16""7500PSI WITH 10KFLANGE(MODELS400) WITH SPARES 2 NO"
07-03-2024,SAYATVA INDUSTRIAL PRIVATE LTD.,India,SAYATVA LLC,United States,0,21594,USD,150,PCS,INDUSTRIAL VALVE PARTS- STEM PACKING SET745/703/B711/716 0.620 ID X 1.125 OD X 1.070/1.032 SH S8532
07-03-2024,SAYATVA INDUSTRIAL PRIVATE LTD.,India,SAYATVA LLC,United States,0,7536,USD,150,PCS,INDUSTRIAL VALVE PARTS- OPTISEAL ASSY 2.625 X 3.000 S21036 ITEM CODE:255591845
07-03-2024,SAYATVA INDUSTRIAL PRIVATE LTD.,India,SAYATVA LLC,United States,0,11956,USD,150,PCS,INDUSTRIAL VALVE PARTS -BALANCE SEAL ASSY 1.25 X 1.625 S20844 ITEM CODE: 255591844
05-03-2024,ADS SERVICES LLC.,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,1646.73,0,USD,171,NOS,"FASTENERS (HEAVY HEX NUT,1-3/8""-8UN 2B,BSL 2,XYLAN 1424 BLUE COATED,ASTM A194 GR2H,API 20E MONOGRAMM"
05-03-2024,ADS SERVICES LLC.,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,356.4,0,USD,66,NOS,"FASTENERS (HEAVY HEX NUT,7/8""-9UNC 2B,BSL 2,XYLAN 1424 BLUE COATED,ASTM A194 GR2H,API 20E MONOGRAMME"
05-03-2024,ADS SERVICES LLC.,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,183.6,0,USD,34,NOS,"FASTENERS (HEAVY HEX NUT,3/4""-10UNC 2B,BSL 2,XYLAN 1424 BLUE COATED,ASTM A194 GR2H,API 20E MONOGRAMM"
05-03-2024,ADS SERVICES LLC.,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,1380.96,0,USD,137,NOS,"FASTENERS (HEAVY HEX NUT,3/4""-10UNC 2B,BSL 3,XYLAN 1424 BLUE COATED,ASTM A194 GR7,API 20E MONOGRAMME"
05-03-2024,PETRODYNAMIX LLC.,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,115391.2,0,USD,80,NOS,"INDUSTRIAL VALVE (ASSEMBLY,MANUAL GATE VALVE,2 9/16""-10K,PU,EE-NL,BODY/BNT 4130-NQT-75K, UT/MPI, PSL"
