ARRIVAL DATE,IMPORTER NAME,IMPORTER COUNTRY,EXPORTER NAME,COUNTRY OF ORIGIN,IMPORT VALUE FOB,IMPORT VALUE CIF,CURRENCY,QUANTITY,QUANTITY UNIT,PRODUCT DETAILS
27-04-2024,SRI ENERGY VALVES PVT LTD.,India,SRI ENERGY INC,United States,0,499,USD,25,PCS,"INDUSTRIAL VALVE PARTS-ASSY COMP REDUCER 1"" MALE NPT TO M25FEMALE ATEX/IECEX ITEM NO: PM2858"
27-04-2024,SRI ENERGY VALVES PVT LTD.,India,SRI ENERGY INC,United States,0,580,USD,100,PCS,"7-1/4"" OD MAGNETIC PROTECTOR ITEM NO: 40019602"
27-04-2024,SRI ENERGY VALVES PVT LTD.,India,SRI ENERGY INC,India,0,2958,USD,17,NOS,RE-IMPORT (P.NO:SSX5010H2211)MACH COMP SSX SEAT 5-1/8 10K PSI 410 SS SES-4.6.10 TBR 7 (EXP INV NO:92
27-04-2024,SRI ENERGY VALVES PVT LTD.,India,SRI ENERGY INC,India,0,1740,USD,10,NOS,RE-IMPORT (P.NO:SSX5010H2211)MACH COMP SSX SEAT 5-1/8 10K PSI 410 SS SES-4.6.10 TBR #7 (EXP INV NO:9
27-04-2024,SRI ENERGY VALVES PVT LTD.,India,SRI ENERGY INC,United States,0,6566,USD,5,PCS,"INDUSTRIAL VALVE PARTS-ASSY COMP SCREW STOCK FOR WORM GEAR 15 TON X 36.00"" ITEM NO: PM2019"
27-04-2024,SRI ENERGY VALVES PVT LTD.,India,SRI ENERGY INC,United States,0,459,USD,20,PCS,"INDUSTRIAL VALVE PARTS-ASSY COMP SENSING PROBE/HINGED SHAFTCOLLAR 1.00"" BLACK OXIDE ITEM NO: PM2850"
27-04-2024,SRI ENERGY VALVES PVT LTD.,India,SRI ENERGY INC,United States,0,3235,USD,8,PCS,"INDUSTRIAL VALVE PARTS-ASSY COMP POTENTIOMETER LINEAR 3"" TRAVEL 1K OHM RESISTANCE ITEM NO: PM2005"
27-04-2024,SRI ENERGY VALVES PVT LTD.,India,SRI ENERGY INC,United States,0,19600,USD,10,PCS,"INDUSTRIAL VALVE PARTS-ASSY COMP SPRING ACTUATOR 3 1/16 15KSUB SEA FAIL CLOSE 1.562"" ITEM NO: PM1388"
27-04-2024,SRI ENERGY VALVES PVT LTD.,India,SRI ENERGY INC,India,0,7744,USD,44,NOS,RE-IMPORT (P.NO:SK2962)MACH COMP SSX SEAT BLANK 3-1/16 -20KALLOY 725 SES-4.6.107 TBR 7 (EXP INV NO:9
27-04-2024,SRI ENERGY VALVES PVT LTD.,India,SRI ENERGY INC,United States,0,214,USD,5,PCS,"INDUSTRIAL VALVE PARTS-ASSY COMP GLAND 1/2"" SIZE O ARMORED CABLE BRASS EEX E D 501/453 ITEM NO: PM26"
